GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36081051100,36081051100,Queens,2494,0.17080994,92647,40.7273279,-73.9001655,0,0,0,0,0.1993578175,0.01020587994,9.073926006,-1.10368664,1.10368664,1.303044458,0.861982269,0.861982269,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,323
36081051200,36081051200,Queens,2683,0.17673378,122778,40.7104101,-73.7501193,0,0,0,0,0.1993578175,0.008118836933,9.249082106,-0.6604770168,0.6604770168,0.8598348343,0.5687928582,0.5687928582,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1921
36081051300,36081051300,Queens,2621,0.15413964,83618,40.7318897,-73.8975137,0,0,0,0,0.1993578175,0.008611292643,9.207145737,-0.7665915197,0.7665915197,0.9659493372,0.6389890971,0.6389890971,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,324
36081051500,36081051500,Queens,3062,0.18354017,102833,40.7309757,-73.9014977,0,0,0,0,0.1993578175,0.006620010492,9.379102435,-0.3314775657,0.3314775657,0.5308353832,0.3511550856,0.3511550856,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,305
36081051600,36081051600,Queens,2161,0.24433133,107500,40.7027231,-73.7472729,0,0,0,0,0.1993578175,0.005151498018,9.510088005,-3.569713485e-05,3.569713485e-05,0.1993935146,0.1319016194,0.1319016194,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,306
36081051700,36081051700,Queens,2068,0.17408124,113125,40.7246283,-73.900294,0,0,0,0,0.1993578175,0.008832663066,9.188417997,-0.8139796168,0.8139796168,1.013337434,0.670336991,0.670336991,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,307
36081051800,36081051800,Queens,2186,0.24245197,124423,40.7018381,-73.7520094,0,0,0,0,0.1993578175,0.006367707052,9.401349599,-0.2751840247,0.2751840247,0.4745418422,0.3139161151,0.3139161151,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,309
36081052000,36081052000,Queens,1753,0.19536231,105163,40.7011396,-73.7546876,0,0,0,0,0.1993578175,0.005271065726,9.499286372,-0.02736781802,0.02736781802,0.2267256355,0.1499822025,0.1499822025,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1982
36081052100,36081052100,Queens,1841,0.22107551,84009,40.7208648,-73.9015157,0,0,0,0,0.1993578175,0.004941740797,9.529096739,0.04806342014,-0.04806342014,0.1512943973,0.1000833756,0.1000833756,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,310
36081052200,36081052200,Queens,2233,0.13121362,86818,40.7004447,-73.7573683,0,0,0,0,0.1993578175,0.005504977718,9.478225783,-0.08065888715,0.08065888715,0.2800167046,0.1852349956,0.1852349956,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,311
